日期(年/月),單位,天然氣供給_合計,天然氣供給_自產量,天然氣供給_進口量,天然氣轉變投入_合計,天然氣轉變投入_煉油廠,天然氣轉變投入_發電及汽電,天然氣消費_合計,天然氣消費_能源部門自用,天然氣消費_工業部門,天然氣消費_運輸部門,天然氣消費_農業部門,天然氣消費_服務業部門,天然氣消費_住宅部門,天然氣消費_非能源消費,自產天然氣可供市場銷售之NG1_小計,自產天然氣可供市場銷售之NG1_自產量,自產天然氣可供市場銷售之NG1_由LNG來之調整量,自產天然氣轉變投入_發電及汽電,自產天然氣NG1消費_合計,自產天然氣NG1消費_能源部門自用,自產天然氣NG1消費_工業部門,自產天然氣NG1消費_運輸部門,自產天然氣NG1消費_農業部門,自產天然氣NG1消費_服務業部門,自產天然氣NG1消費_住宅部門,自產天然氣NG1消費_非能源消費,(進口)液化天然氣進口量,(進口)液化天然氣可供市場銷售之NG2可供市場銷售之NG2,(進口)液化天然氣轉變投入_小計,(進口)液化天然氣轉變投入_煉油廠,(進口)液化天然氣轉變投入_發電及汽電,(進口)液化天然氣NG2消費_小計,(進口)液化天然氣NG2消費_能源部門自用,(進口)液化天然氣NG2消費_工業部門,(進口)液化天然氣NG2消費_運輸部門,(進口)液化天然氣NG2消費_農業部門,(進口)液化天然氣NG2消費_服務業部門,(進口)液化天然氣NG2消費_住宅部門,(進口)液化天然氣NG2消費_非能源消費
201611,千立方公尺,1638535.1762573628,27122,1611413.1762573628,1312432.2300459,4101,1308331.2300459,346641.5559541,23901.95047043,224508.90648367,0,267.983,41843.959,56118.757,0,141525.5,27122,114403.5,153.79213483,128046.54786517,84.06,44845.55486517,0,0,30949.298,52167.635,0,1611413.1762573628,1692209,1312278.43791107,4101,1308177.43791107,218595.00808893,23817.89047043,179663.3516185,0,267.983,10894.661,3951.122,0
201612,千立方公尺,1753048.6415949252,27256,1725792.6415949252,1397805.2563255,0,1397805.2563255,359612.4826745,18514.91597972,230805.26569478,0,469.341,44651.378,65171.582,0,169817.125,27256,142561.125,125.84859551,141503.05240449,93.059,46808.41540449,0,0,33792.039,60809.539,0,1725792.6415949252,1874671,1397679.40772999,0,1397679.40772999,218109.43027001,18421.85697972,183996.85029029,0,469.341,10859.339,4362.043,0
201701,千立方公尺,1661765.9814227459,24143,1637622.9814227459,1272571.99750407,0,1272571.99750407,369663.06749593,23173.3432128,223407.29728313,0,719.297,45986.7,76376.43,0,172375.25,24143,148232.25,147.74620787,150276.34379213,79,43594.04579213,0,0,35162.098,71441.2,0,1637622.9814227459,1565197,1272424.2512962,0,1272424.2512962,219386.7237038,23094.3432128,179813.251491,0,719.297,10824.602,4935.23,0
201702,千立方公尺,1463222.780244676,24668,1438554.780244676,1060827.87256599,0,1060827.87256599,359043.73443401,22389.674923,207543.30351101,0,739.786,44690.642,83680.328,0,163849.625,24668,139181.625,236.1261236,148574.7198764,98,36409.7658764,0,0,34030.532,78036.422,0,1438554.780244676,1408134,1060591.74644239,0,1060591.74644239,210469.01455761,22291.674923,171133.53763461,0,739.786,10660.11,5643.906,0
201703,千立方公尺,1707228.6094245582,26243,1680985.6094245582,1261966.00512247,4161,1257805.00512247,415550.18887753,35137.01294708,241554.73493045,0,551.796,46376.873,91929.772,0,184725.125,26243,158482.125,164.37668539,168278.92631461,181.23,47179.14631461,0,0,34965.243,85953.307,0,1680985.6094245582,1693606,1261801.62843708,4161,1257640.62843708,247271.26256292,34955.78294708,194375.58861584,0,551.796,11411.63,5976.465,0
201704,千立方公尺,1692465.0539193475,19162,1673303.0539193475,1234319.16628868,1856,1232463.16628868,401768.16771132,37405.93750575,230597.58420557,0,339.799,47126.511,86298.336,0,157628.125,19162,138466.125,194.81025281,163443.27674719,109,46570.59374719,0,0,36206.367,80557.316,0,1673303.0539193475,1620253,1234124.35603587,1856,1232268.35603587,238324.89096413,37296.93750575,184026.99045838,0,339.799,10920.144,5741.02,0
201705,千立方公尺,1856125.8663343906,23421,1832704.8663343906,1585040.42890293,0,1585040.42890293,368513.87409707,21446.77522095,227732.99687612,0,96.493,43073.754,76163.855,0,146673.75,23421,123252.75,181.85154494,150264.06445506,131,46903.71645506,0,0,31879.302,71350.046,0,1832704.8663343906,1942896,1584858.57735799,0,1584858.57735799,218249.80964201,21315.77522095,180829.28042106,0,96.493,11194.452,4813.809,0
201706,千立方公尺,1974999.666515632,23432,1951567.666515632,1596976.04248071,0,1596976.04248071,364854.42951929,26778.83304005,229058.32847924,0,41.484,43783.093,65192.691,0,136863.5,23432,113431.5,246.67907303,139986.13492697,74,46440.57892697,0,0,32711.467,60760.089,0,1951567.666515632,1964404,1596729.36340768,0,1596729.36340768,224868.29459232,26704.83304005,182617.74955227,0,41.484,11071.626,4432.602,0
201707,千立方公尺,1997687.2510194834,24429,1973258.2510194834,1761318.50700791,923,1760395.50700791,366563.65599209,28273.44359553,236229.39039656,0,29.938,43278.457,58752.427,0,128413.875,24429,103984.875,167.65449438,135106.90650562,79,47890.93050562,0,0,32294.724,54842.252,0,1973258.2510194834,2091218,1761150.85251353,923,1760227.85251353,231456.74948647,28194.44359553,188338.45989094,0,29.938,10983.733,3910.175,0
201708,千立方公尺,2256495.788400544,24435,2232060.788400544,1853628.55117076,4735,1848893.55117076,363560.16582924,29164.62061506,242735.70121418,0,35.194,41346.717,50277.933,0,127359,24435,102924,195.3991573,125621.0068427,82.057,48611.3678427,0,0,30358.487,46569.095,0,2232060.788400544,2161804,1853433.15201346,4735,1848698.15201346,237939.15898654,29082.56361506,194124.33337148,0,35.194,10988.23,3708.838,0
